security_id,cusip,issuer,reason,conflicting_evidence,impacted_observation_count,affected_variants,affected_splits,recommended_review_action
,G4124C109,GRAB HOLDINGS LIMITED,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,68,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,G61188127,LIBERTY GLOBAL LTD,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,59,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,G9460G101,VALARIS LTD,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,51,O0;O1_2Q;O1_3Q,H3_security_holdout;H3_security_holdout;H4_combined;H4_combined;H4_combined,resolve ambiguity
,G61188101,LIBERTY GLOBAL LTD,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,50,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,G9001E128,LIBERTY LATIN AMERICA LTD,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,49,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout,resolve ambiguity
,74144T108,PRICE T ROWE GROUP INC,CONFLICT,SEC title 'T ROWE PRICE GROUP INC' -> ['TKNZ'] != OpenFIGI TROW,48,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout;H2_manager_holdout,review conflict evidence
,G9001E102,LIBERTY LATIN AMERICA LTD,AMBIGUOUS,SEC issuer matched but multiple tickers; OpenFIGI unavailable,48,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H1_time_holdout;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,233331107,DTE ENERGY CO,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,47,O0;O1_2Q;O1_3Q,H3_security_holdout;H3_security_holdout;H3_security_holdout;H4_combined;H4_combined;H4_combined,resolve ambiguity
,023586100,U HAUL HOLDING COMPANY,AMBIGUOUS,openfigi error: transport_error:<urlopen error [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。> | SEC issuer matched but multiple tickers; OpenFIGI unavailable,44,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout;H2_manager_holdout,resolve ambiguity
,09180C106,BJS RESTAURANTS INC,CONFLICT,SEC title 'BJ'S RESTAURANTS INC' -> ['BJ'] != OpenFIGI BJRI,43,O0;O1_2Q;O1_3Q,H0_dev;H0_dev;H1_time_holdout;H1_time_holdout;H2_manager_holdout,review conflict evidence
